Training epoch 0
[0/500][860/1383]	LossTot: 11493804.0000	LossRec: 11493804.0000
[0/500][870/1383]	LossTot: 7979616.0000	LossRec: 7979616.0000
[0/500][880/1383]	LossTot: 3497145.5000	LossRec: 3497145.5000
[0/500][890/1383]	LossTot: 5217438.0000	LossRec: 5217438.0000
[0/500][900/1383]	LossTot: 2056407.5000	LossRec: 2056407.5000
[0/500][910/1383]	LossTot: 1607820.0000	LossRec: 1607820.0000
[0/500][920/1383]	LossTot: 1714326.5000	LossRec: 1714326.5000
[0/500][930/1383]	LossTot: 5783155.0000	LossRec: 5783155.0000
[0/500][940/1383]	LossTot: 1578194.7500	LossRec: 1578194.7500
[0/500][950/1383]	LossTot: 1491611.7500	LossRec: 1491611.7500
[0/500][960/1383]	LossTot: 984858.3750	LossRec: 984858.3750
[0/500][970/1383]	LossTot: 873060.1250	LossRec: 873060.1250
[0/500][980/1383]	LossTot: 1047601.1875	LossRec: 1047601.1875
[0/500][990/1383]	LossTot: 3296944.2500	LossRec: 3296944.2500
[0/500][1000/1383]	LossTot: 2254685.2500	LossRec: 2254685.2500
[0/500][1010/1383]	LossTot: 1445810.5000	LossRec: 1445810.5000
[0/500][1020/1383]	LossTot: 1529439.5000	LossRec: 1529439.5000
[0/500][1030/1383]	LossTot: 984309.4375	LossRec: 984309.4375
[0/500][1040/1383]	LossTot: 1694439.6250	LossRec: 1694439.6250
[0/500][1050/1383]	LossTot: 3786042.5000	LossRec: 3786042.5000
[0/500][1060/1383]	LossTot: 5461527.0000	LossRec: 5461527.0000
[0/500][1070/1383]	LossTot: 3193634.0000	LossRec: 3193634.0000
[0/500][1080/1383]	LossTot: 2177385.0000	LossRec: 2177385.0000
[0/500][1090/1383]	LossTot: 1577048.0000	LossRec: 1577048.0000
[0/500][1100/1383]	LossTot: 2225658.5000	LossRec: 2225658.5000
[0/500][1110/1383]	LossTot: 2158112.5000	LossRec: 2158112.5000
[0/500][1120/1383]	LossTot: 5807169.5000	LossRec: 5807169.5000
[0/500][1130/1383]	LossTot: 1987741.8750	LossRec: 1987741.8750
[0/500][1140/1383]	LossTot: 6218242.5000	LossRec: 6218242.5000
[0/500][1150/1383]	LossTot: 1826128.0000	LossRec: 1826128.0000
[0/500][1160/1383]	LossTot: 2121376.0000	LossRec: 2121376.0000
[0/500][1170/1383]	LossTot: 2334005.7500	LossRec: 2334005.7500
[0/500][1180/1383]	LossTot: 1968584.0000	LossRec: 1968584.0000
[0/500][1190/1383]	LossTot: 1803235.0000	LossRec: 1803235.0000
[0/500][1200/1383]	LossTot: 1111165.5000	LossRec: 1111165.5000
[0/500][1210/1383]	LossTot: 890822.0625	LossRec: 890822.0625
[0/500][1220/1383]	LossTot: 2765999.5000	LossRec: 2765999.5000
[0/500][1230/1383]	LossTot: 1019983.1250	LossRec: 1019983.1250
[0/500][1240/1383]	LossTot: 844024.4375	LossRec: 844024.4375
[0/500][1250/1383]	LossTot: 1403001.0000	LossRec: 1403001.0000
[0/500][1260/1383]	LossTot: 1487798.7500	LossRec: 1487798.7500
[0/500][1270/1383]	LossTot: 1072326.0000	LossRec: 1072326.0000
[0/500][1280/1383]	LossTot: 1192243.0000	LossRec: 1192243.0000
[0/500][1290/1383]	LossTot: 858278.3750	LossRec: 858278.3750
[0/500][1300/1383]	LossTot: 863655.6250	LossRec: 863655.6250
[0/500][1310/1383]	LossTot: 7189535.0000	LossRec: 7189535.0000
[0/500][1320/1383]	LossTot: 11260849.0000	LossRec: 11260849.0000
[0/500][1330/1383]	LossTot: 2684389.7500	LossRec: 2684389.7500
[0/500][1340/1383]	LossTot: 2171317.5000	LossRec: 2171317.5000
[0/500][1350/1383]	LossTot: 1815809.1250	LossRec: 1815809.1250
[0/500][1360/1383]	LossTot: 2591377.0000	LossRec: 2591377.0000
[0/500][1370/1383]	LossTot: 2968427.5000	LossRec: 2968427.5000
[0/500][1380/1383]	LossTot: 2101940.0000	LossRec: 2101940.0000
epoch [1/500], loss:1117611.0
epoch [1/500], loss:2235222.0000, Rec loss:1117611.0000
Training epoch 1
[1/500][0/1383]	LossTot: 2515946.5000	LossRec: 2515946.5000
[1/500][10/1383]	LossTot: 2430314.0000	LossRec: 2430314.0000
[1/500][20/1383]	LossTot: 1637850.5000	LossRec: 1637850.5000
[1/500][30/1383]	LossTot: 1973995.3750	LossRec: 1973995.3750
[1/500][40/1383]	LossTot: 1905771.0000	LossRec: 1905771.0000
[1/500][50/1383]	LossTot: 1020459.5000	LossRec: 1020459.5000
[1/500][60/1383]	LossTot: 3785231.0000	LossRec: 3785231.0000
[1/500][70/1383]	LossTot: 1169259.5000	LossRec: 1169259.5000
[1/500][80/1383]	LossTot: 1159458.2500	LossRec: 1159458.2500
[1/500][90/1383]	LossTot: 862159.8750	LossRec: 862159.8750
[1/500][100/1383]	LossTot: 1224492.0000	LossRec: 1224492.0000
[1/500][110/1383]	LossTot: 1201125.0000	LossRec: 1201125.0000
[1/500][120/1383]	LossTot: 655366.6250	LossRec: 655366.6250
[1/500][130/1383]	LossTot: 432044.7812	LossRec: 432044.7812
[1/500][140/1383]	LossTot: 521371.6250	LossRec: 521371.6250
[1/500][150/1383]	LossTot: 1068102.2500	LossRec: 1068102.2500
[1/500][160/1383]	LossTot: 912138.1250	LossRec: 912138.1250
[1/500][170/1383]	LossTot: 1375341.0000	LossRec: 1375341.0000
[1/500][180/1383]	LossTot: 1157698.3750	LossRec: 1157698.3750
[1/500][190/1383]	LossTot: 1260668.0000	LossRec: 1260668.0000
[1/500][200/1383]	LossTot: 12257232.0000	LossRec: 12257232.0000
[1/500][210/1383]	LossTot: 3988388.2500	LossRec: 3988388.2500
[1/500][220/1383]	LossTot: 1566431.5000	LossRec: 1566431.5000
[1/500][230/1383]	LossTot: 1556522.7500	LossRec: 1556522.7500
[1/500][240/1383]	LossTot: 1197994.2500	LossRec: 1197994.2500
[1/500][250/1383]	LossTot: 895754.5000	LossRec: 895754.5000
[1/500][260/1383]	LossTot: 908394.3750	LossRec: 908394.3750
[1/500][270/1383]	LossTot: 801670.5000	LossRec: 801670.5000
[1/500][280/1383]	LossTot: 1569109.8750	LossRec: 1569109.8750
[1/500][290/1383]	LossTot: 1908851.1250	LossRec: 1908851.1250
[1/500][300/1383]	LossTot: 1537556.8750	LossRec: 1537556.8750
[1/500][310/1383]	LossTot: 2963208.2500	LossRec: 2963208.2500
[1/500][320/1383]	LossTot: 1572828.1250	LossRec: 1572828.1250
[1/500][330/1383]	LossTot: 1639770.5000	LossRec: 1639770.5000
[1/500][340/1383]	LossTot: 1488881.3750	LossRec: 1488881.3750
[1/500][350/1383]	LossTot: 1535417.1250	LossRec: 1535417.1250
[1/500][360/1383]	LossTot: 2686455.2500	LossRec: 2686455.2500
[1/500][370/1383]	LossTot: 738088.3750	LossRec: 738088.3750
[1/500][380/1383]	LossTot: 814625.2500	LossRec: 814625.2500
[1/500][390/1383]	LossTot: 614782.5000	LossRec: 614782.5000
[1/500][400/1383]	LossTot: 937782.8750	LossRec: 937782.8750
[1/500][410/1383]	LossTot: 868214.3750	LossRec: 868214.3750
[1/500][420/1383]	LossTot: 858114.0000	LossRec: 858114.0000
[1/500][430/1383]	LossTot: 993461.9375	LossRec: 993461.9375
[1/500][440/1383]	LossTot: 756942.6250	LossRec: 756942.6250
[1/500][450/1383]	LossTot: 680500.1250	LossRec: 680500.1250
[1/500][460/1383]	LossTot: 1228231.5000	LossRec: 1228231.5000
[1/500][470/1383]	LossTot: 3064876.2500	LossRec: 3064876.2500
[1/500][480/1383]	LossTot: 1557849.6250	LossRec: 1557849.6250
[1/500][490/1383]	LossTot: 913121.9375	LossRec: 913121.9375
[1/500][500/1383]	LossTot: 1186291.3750	LossRec: 1186291.3750
[1/500][510/1383]	LossTot: 1545710.7500	LossRec: 1545710.7500
[1/500][520/1383]	LossTot: 1670132.7500	LossRec: 1670132.7500
[1/500][530/1383]	LossTot: 750552.1250	LossRec: 750552.1250
[1/500][540/1383]	LossTot: 1832454.8750	LossRec: 1832454.8750
[1/500][550/1383]	LossTot: 1195958.5000	LossRec: 1195958.5000
[1/500][560/1383]	LossTot: 785587.3750	LossRec: 785587.3750
